39,11,43,1.216,0.051
66,44,93,1.458,0.059
99,73,137,1.47,0.059
133,101,185,1.466,0.069
153,131,231,1.449,0.073
186,163,278,1.442,0.074
213,189,324,1.45,0.08
247,218,379,1.464,0.092
245,245,420,1.466,0.101
250,248,458,1.463,0.14
259,244,485,1.457,0.181
263,251,533,1.461,0.213
254,252,570,1.465,0.274
248,250,594,1.468,0.343
239,229,609,1.466,0.414
252,214,625,1.47,0.496
236,215,630,1.479,0.57
225,201,650,1.484,0.618
222,169,660,1.495,0.677
216,180,702,1.5,0.717
221,187,717,1.501,0.753
236,191,730,1.509,0.796
219,174,747,1.511,0.832
191,173,761,1.506,0.854
186,179,778,1.508,0.875
194,172,805,1.513,0.9
205,171,818,1.511,0.907
208,167,841,1.508,0.914
226,170,866,1.5,0.918
223,154,872,1.499,0.932
195,141,876,1.51,0.951
210,153,908,1.507,0.937
193,143,901,1.512,0.928
72,46,708,1.507,0.923
