     0.000,     0.000,     0.000,     0.000,     0.000
    36.000,     8.000,    37.000,     1.165,     0.056
    62.000,    35.000,    83.000,     1.293,     0.048
    91.000,    63.000,   132.000,     1.374,     0.051
   128.000,    92.000,   183.000,     1.414,     0.058
   153.000,   131.000,   229.000,     1.424,     0.058
   183.000,   160.000,   278.000,     1.437,     0.061
   205.000,   186.000,   322.000,     1.443,     0.066
   232.000,   213.000,   368.000,     1.449,     0.075
   242.000,   225.000,   404.000,     1.443,     0.086
   252.000,   233.000,   443.000,     1.437,     0.110
   268.000,   249.000,   496.000,     1.445,     0.141
   256.000,   251.000,   543.000,     1.454,     0.184
   265.000,   250.000,   581.000,     1.456,     0.236
   247.000,   220.000,   583.000,     1.460,     0.306
   232.000,   222.000,   624.000,     1.468,     0.387
   259.000,   195.000,   629.000,     1.471,     0.471
   236.000,   207.000,   633.000,     1.467,     0.537
   228.000,   206.000,   656.000,     1.472,     0.599
   231.000,   222.000,   682.000,     1.483,     0.653
   242.000,   194.000,   708.000,     1.489,     0.713
   214.000,   164.000,   702.000,     1.489,     0.749
   199.000,   155.000,   719.000,     1.491,     0.779
   195.000,   166.000,   745.000,     1.490,     0.808
   179.000,   168.000,   765.000,     1.503,     0.851
   193.000,   172.000,   792.000,     1.509,     0.871
   207.000,   164.000,   809.000,     1.515,     0.892
   199.000,   160.000,   820.000,     1.507,     0.907
   197.000,   165.000,   838.000,     1.504,     0.914
   178.000,   157.000,   847.000,     1.504,     0.922
   199.000,   152.000,   884.000,     1.511,     0.940
   212.000,   149.000,   889.000,     1.517,     0.956
   205.000,   149.000,   906.000,     1.509,     0.947
   192.000,   140.000,   906.000,     1.512,     0.939
    85.000,    52.000,   728.000,     1.525,     0.942
    39.000,    11.000,    40.000,     1.255,     0.083
    67.000,    44.000,    90.000,     1.383,     0.066
    92.000,    72.000,   135.000,     1.401,     0.055
   117.000,    98.000,   177.000,     1.397,     0.057
   149.000,   131.000,   231.000,     1.419,     0.069
   182.000,   156.000,   277.000,     1.435,     0.068
   211.000,   184.000,   325.000,     1.448,     0.069
   233.000,   208.000,   368.000,     1.458,     0.078
   251.000,   218.000,   407.000,     1.455,     0.103
   263.000,   232.000,   457.000,     1.447,     0.137
   266.000,   255.000,   509.000,     1.444,     0.158
   277.000,   260.000,   545.000,     1.444,     0.181
   256.000,   239.000,   561.000,     1.453,     0.246
   259.000,   227.000,   592.000,     1.465,     0.331
   234.000,   211.000,   607.000,     1.469,     0.408
   251.000,   234.000,   640.000,     1.479,     0.488
   245.000,   212.000,   648.000,     1.495,     0.567
   227.000,   207.000,   655.000,     1.504,     0.632
   217.000,   169.000,   653.000,     1.506,     0.685
   196.000,   167.000,   678.000,     1.509,     0.727
   213.000,   175.000,   719.000,     1.513,     0.757
   216.000,   176.000,   735.000,     1.515,     0.802
   215.000,   176.000,   763.000,     1.520,     0.834
   197.000,   177.000,   771.000,     1.524,     0.850
   193.000,   168.000,   788.000,     1.530,     0.889
   219.000,   172.000,   808.000,     1.535,     0.916
   219.000,   163.000,   826.000,     1.536,     0.929
   206.000,   140.000,   831.000,     1.539,     0.954
   199.000,   149.000,   867.000,     1.533,     0.946
   198.000,   147.000,   886.000,     1.532,     0.942
   213.000,   146.000,   903.000,     1.528,     0.946
   204.000,   153.000,   909.000,     1.540,     0.950
   199.000,   139.000,   886.000,     1.536,     0.953
    72.000,    45.000,   694.000,     1.553,     0.972
    39.000,    11.000,    40.000,     1.172,     0.052
    62.000,    37.000,    81.000,     1.311,     0.047
    97.000,    73.000,   138.000,     1.417,     0.061
   128.000,   101.000,   185.000,     1.455,     0.059
   158.000,   129.000,   232.000,     1.492,     0.062
   195.000,   162.000,   287.000,     1.503,     0.067
   217.000,   199.000,   335.000,     1.508,     0.074
   245.000,   215.000,   377.000,     1.507,     0.083
   257.000,   231.000,   414.000,     1.502,     0.102
   258.000,   227.000,   459.000,     1.506,     0.127
   261.000,   238.000,   503.000,     1.511,     0.166
   279.000,   243.000,   547.000,     1.517,     0.207
   255.000,   240.000,   587.000,     1.517,     0.279
   242.000,   222.000,   595.000,     1.512,     0.369
   224.000,   222.000,   609.000,     1.502,     0.414
   250.000,   227.000,   638.000,     1.506,     0.483
   229.000,   214.000,   647.000,     1.507,     0.553
   220.000,   210.000,   670.000,     1.509,     0.616
   221.000,   205.000,   680.000,     1.505,     0.670
   229.000,   195.000,   701.000,     1.510,     0.725
   210.000,   179.000,   717.000,     1.522,     0.772
   198.000,   177.000,   730.000,     1.524,     0.804
   199.000,   184.000,   746.000,     1.523,     0.830
   198.000,   180.000,   772.000,     1.523,     0.861
   181.000,   176.000,   795.000,     1.521,     0.879
   201.000,   185.000,   816.000,     1.522,     0.894
   207.000,   173.000,   842.000,     1.511,     0.906
   222.000,   157.000,   849.000,     1.506,     0.921
